## Fri Jul 18 16:34:17 2025,,,,,,,,,,,,,,,,,,,,
## emapper-2.1.12,,,,,,,,,,,,,,,,,,,,
## /emapper_web_jobs/home/emapper/miniforge3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_jq_jpm98 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_jq_jpm98 --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_jq_jpm98/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel,,,,,,,,,,,,,,,,,,,,
##,,,,,,,,,,,,,,,,,,,,
#query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
YP_009711955.1_ribosomal-protein-S8-(chloroplast)-[Fragilariopsiscylindrus],159749.E7BWN1,5.27e-65,201,"COG0096@1|root,KOG1754@2759|Eukaryota",2759|Eukaryota,J,structural constituent of ribosome,rps8,"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0009507,GO:0009526,GO:0009532,GO:0009536,GO:0009570,GO:0009941,GO:0015935,GO:0016020,GO:0022626,GO:0022627,GO:0031967,GO:0031975,GO:0032991,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:1990904",-,ko:K02994,"ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,"Ribosomal_L14,Ribosomal_L6,Ribosomal_S8"
YP_009711966.1_50S-ribosomal-protein-L23-(chloroplast)-[Fragilariopsiscylindrus],159749.E7BWL9,7.3e-38,129,"COG0089@1|root,2SAK4@2759|Eukaryota",2759|Eukaryota,J,rRNA binding,rpl23,"GO:0000027,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009507,GO:0009536,GO:0009987,GO:0010467,GO:0015934,GO:0016043,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0022625,GO:0022626,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0042254,GO:0042255,GO:0042273,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02892,"ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_L23
YP_009711976.1_preprotein-translocase-subunit-A-(chloroplast)-[Fragilariopsiscylindrus],159749.E7BWK0,2.62e-108,342,"COG0653@1|root,2QS7I@2759|Eukaryota,2XADP@2836|Bacillariophyta",2759|Eukaryota,U,Protein translocase subunit secA,secA,-,-,-,-,-,-,-,-,-,-,-,"SecA_DEAD,SecA_PP_bind,SecA_SW"
YP_009711891.1_ribosomal-protein-L35-(chloroplast)-[Fragilariopsiscylindrus],159749.E7BWH7,1.36e-25,95.9,"2E9KB@1|root,2SFXQ@2759|Eukaryota",2759|Eukaryota,J,Ribosomal protein L35,rpl35,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009536,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464",-,-,-,-,-,-,-,-,-,-,Ribosomal_L35p
YP_009711890.1_50S-ribosomal-protein-L20-(chloroplast)-[Fragilariopsiscylindrus],159749.E7BWH8,2.45e-47,154,"COG0292@1|root,KOG4707@2759|Eukaryota",2759|Eukaryota,J,rRNA binding,rpl20,"GO:0000027,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006996,GO:0008150,GO:0009507,GO:0009526,GO:0009532,GO:0009536,GO:0009570,GO:0009941,GO:0009987,GO:0016043,GO:0022607,GO:0022613,GO:0022618,GO:0031967,GO:0031975,GO:0034622,GO:0042254,GO:0042255,GO:0042273,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043933,GO:0044085,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0065003,GO:0070925,GO:0071826,GO:0071840",-,ko:K02887,"ko03010,map03010",M00178,-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_L20
YP_009711880.1_ribosomal-protein-S14-(chloroplast)-[Fragilariopsiscylindrus],159749.E7BWC3,5.93e-52,165,"COG0199@1|root,KOG1741@2759|Eukaryota,2XGBA@2836|Bacillariophyta",2836|Bacillariophyta,J,"Binds 16S rRNA, required for the assembly of 30S particles",-,"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009507,GO:0009536,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02954,"ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_S14
YP_009711892.1_2-Cys-peroxiredoxin-(chloroplast)-[Fragilariopsiscylindrus],159749.E7BWH6,1.46e-103,304,"COG0450@1|root,KOG0852@2759|Eukaryota,2XFG5@2836|Bacillariophyta",2836|Bacillariophyta,O,Redoxin,ycf42,-,1.11.1.15,ko:K03386,"ko04214,map04214",-,-,-,"ko00000,ko00001,ko01000,ko04147",-,-,-,AhpC-TSA
YP_009711879.1_Mg-protoporphyrin-IX-chelatase-(chloroplast)-[Fragilariopsiscylindrus],35128.Thapsdraft980,2.75e-204,571,"COG1239@1|root,2QRUY@2759|Eukaryota,2XEQ7@2836|Bacillariophyta",2836|Bacillariophyta,Q,Involved in chlorophyll biosynthesis. Catalyzes the insertion of magnesium ion into protoporphyrin IX to yield Mg- protoporphyrin IX,-,-,-,-,-,-,-,-,-,-,-,-,Mg_chelatase
YP_009711885.1_replication-helicase-subunit-(chloroplast)-[Fragilariopsiscylindrus],159749.E7BWC6,7.82e-120,366,"COG0305@1|root,2QRXQ@2759|Eukaryota,2XEMK@2836|Bacillariophyta",2836|Bacillariophyta,L,DnaB-like helicase N terminal domain,dnaB,-,-,-,-,-,-,-,-,-,-,-,"DnaB,DnaB_C"
YP_009711889.1_hypothetical-protein-(chloroplast)-[Fragilariopsiscylindrus],159749.E7BWH9,6.2e-209,591,"COG3854@1|root,2QQ4X@2759|Eukaryota,2XEFS@2836|Bacillariophyta",2836|Bacillariophyta,L,AAA domain,ycf45,-,-,-,-,-,-,-,-,-,-,-,-
YP_009711886.1_50S-ribosomal-protein-L.1_(chloroplast)-[Fragilariopsiscylindrus],159749.E7BWC7,5.38e-81,241,"COG0080@1|root,KOG3257@2759|Eukaryota",2759|Eukaryota,J,rRNA binding,rpl11,"GO:0000027,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009507,GO:0009526,GO:0009532,GO:0009536,GO:0009570,GO:0009941,GO:0009987,GO:0010467,GO:0015934,GO:0016020,GO:0016043,GO:0019538,GO:0019843,GO:0022607,GO:0022613,GO:0022618,GO:0022625,GO:0022626,GO:0031967,GO:0031975,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0042254,GO:0042255,GO:0042273,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,"ko:K02863,ko:K02867","ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,"Ribosomal_L11,Ribosomal_L11_N"
YP_009711882.1_photosystem-II-10-kDa-phosphoprotein-(chloroplast)-[Fragilariopsiscylindrus],159749.E7BWH4,1.67e-36,123,"2E1MV@1|root,2S8Y7@2759|Eukaryota,2XHB0@2836|Bacillariophyta",2836|Bacillariophyta,C,"One of the components of the core complex of photosystem II (PSII), required for its stability and or assembly. PSII is a light-driven water plastoquinone oxidoreductase that uses light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation",psbH,-,-,ko:K02709,"ko00195,ko01100,map00195,map01100",-,-,-,"ko00000,ko00001,ko00194",-,-,-,PsbH
YP_009711881.1_photosystem-II-47-kDa-protein-(chloroplast)-[Fragilariopsiscylindrus],159749.E7BWH1,0,1036,"28JG1@1|root,2QRV6@2759|Eukaryota,2XEM0@2836|Bacillariophyta",2836|Bacillariophyta,P,"One of the components of the core complex of photosystem II (PSII). It binds chlorophyll and helps catalyze the primary light-induced photochemical processes of PSII. PSII is a light- driven water plastoquinone oxidoreductase, using light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation",psbB,-,-,ko:K02704,"ko00195,ko01100,map00195,map01100",M00161,-,-,"ko00000,ko00001,ko00002,ko00194",-,-,-,PSII
